,lon,lat,year,month,tas,tasmax,pr
129,-4.0,42.0,2001,7,20.15,27.800001,34.9
130,-4.0,43.0,2001,7,17.75,23.800001,78.850006
131,-4.0,44.0,2001,7,19.4,24.0,64.9
132,-4.0,45.0,2001,7,,,
133,-4.0,46.0,2001,7,,,
134,-4.0,47.0,2001,7,,,
135,-4.0,48.0,2001,7,17.150002,21.300001,94.0
136,-4.0,49.0,2001,7,17.150002,20.9,85.5
137,-4.0,50.0,2001,7,16.6,20.6,85.0
138,-4.0,51.0,2001,7,16.1,20.2,90.975006
139,-4.0,52.0,2001,7,15.325001,20.1,103.075
140,-3.0,33.0,2001,7,27.3,36.100002,0.6
141,-3.0,34.0,2001,7,26.3,34.3,0.275
142,-3.0,35.0,2001,7,24.875,32.3,0.075
143,-3.0,36.0,2001,7,,,
144,-3.0,37.0,2001,7,23.6,31.1,0.5
145,-3.0,38.0,2001,7,25.325,34.4,2.125
146,-3.0,39.0,2001,7,24.975,33.600002,5.3
147,-3.0,40.0,2001,7,24.075,33.100002,9.525001
148,-3.0,41.0,2001,7,21.400002,31.2,24.25
149,-3.0,42.0,2001,7,19.25,28.300001,45.7
150,-3.0,43.0,2001,7,18.175001,25.0,78.175
151,-3.0,44.0,2001,7,,,
152,-3.0,45.0,2001,7,,,
153,-3.0,46.0,2001,7,,,
154,-3.0,47.0,2001,7,18.1,21.9,93.3
155,-3.0,48.0,2001,7,17.65,22.300001,91.2
156,-3.0,49.0,2001,7,17.466667,21.4,87.333336
157,-3.0,50.0,2001,7,17.1,21.1,78.0
158,-3.0,51.0,2001,7,16.625,21.2,65.4
159,-3.0,52.0,2001,7,15.925,21.300001,63.525
160,-2.0,33.0,2001,7,27.475,36.0,0.45000002
161,-2.0,34.0,2001,7,26.05,34.4,0.125
162,-2.0,35.0,2001,7,25.45,33.600002,0.05
163,-2.0,36.0,2001,7,,,
164,-2.0,37.0,2001,7,25.2,32.8,0.17500001
165,-2.0,38.0,2001,7,24.400002,33.100002,1.05
166,-2.0,39.0,2001,7,24.25,33.100002,4.275
167,-2.0,40.0,2001,7,21.9,32.100002,12.3
168,-2.0,41.0,2001,7,19.925001,29.0,25.85
169,-2.0,42.0,2001,7,20.875,29.9,42.9
170,-2.0,43.0,2001,7,18.800001,26.1,87.375
171,-2.0,44.0,2001,7,,,
172,-2.0,45.0,2001,7,,,
173,-2.0,46.0,2001,7,19.300001,23.4,93.200005
174,-2.0,47.0,2001,7,19.25,24.2,94.700005
175,-2.0,48.0,2001,7,18.55,24.1,84.9
176,-2.0,49.0,2001,7,18.0,22.7,81.95
177,-2.0,50.0,2001,7,17.6,21.800001,76.4
178,-2.0,51.0,2001,7,16.925,22.2,56.175
179,-2.0,52.0,2001,7,17.0,22.0,61.9
180,-1.0,33.0,2001,7,27.725,36.5,0.675
181,-1.0,34.0,2001,7,25.85,34.9,0.2
182,-1.0,35.0,2001,7,24.675001,32.3,0.05
183,-1.0,36.0,2001,7,25.95,33.5,0.0
184,-1.0,37.0,2001,7,26.4,33.0,0.1
185,-1.0,38.0,2001,7,25.05,32.5,0.75
186,-1.0,39.0,2001,7,24.075,31.6,4.0750003
187,-1.0,40.0,2001,7,21.525002,30.6,15.525001
188,-1.0,41.0,2001,7,20.925001,30.4,28.45
189,-1.0,42.0,2001,7,22.85,31.1,40.75
190,-1.0,43.0,2001,7,19.125,26.0,81.95
191,-1.0,44.0,2001,7,20.525002,26.0,96.15
192,-1.0,45.0,2001,7,20.425001,25.800001,93.375
193,-1.0,46.0,2001,7,20.15,24.800001,90.35
194,-1.0,47.0,2001,7,19.5,24.6,103.4
195,-1.0,48.0,2001,7,18.775002,24.5,92.275
196,-1.0,49.0,2001,7,17.825,22.5,91.700005
197,-1.0,50.0,2001,7,18.1,22.4,74.6
198,-1.0,51.0,2001,7,17.3,22.6,51.45
199,-1.0,52.0,2001,7,17.3,22.6,57.575
200,-0.0,33.0,2001,7,28.625,38.0,0.975
201,-0.0,34.0,2001,7,26.550001,35.600002,0.55
202,-0.0,35.0,2001,7,25.75,34.3,0.075
203,-0.0,36.0,2001,7,27.1,34.600002,0.0
204,-0.0,37.0,2001,7,,,
205,-0.0,38.0,2001,7,25.800001,32.0,2.8
206,-0.0,39.0,2001,7,25.233334,32.0,6.4
207,-0.0,40.0,2001,7,23.766668,30.5,16.166666
208,-0.0,41.0,2001,7,23.75,31.5,25.95
209,-0.0,42.0,2001,7,23.175,31.800001,49.875
210,-0.0,43.0,2001,7,18.325,27.7,93.275
211,-0.0,44.0,2001,7,21.5,27.4,80.625
212,-0.0,45.0,2001,7,20.8,26.6,89.100006
213,-0.0,46.0,2001,7,20.05,25.6,100.775
214,-0.0,47.0,2001,7,19.55,25.2,111.0
215,-0.0,48.0,2001,7,18.925001,24.800001,113.425
216,-0.0,49.0,2001,7,17.9,22.6,107.0
217,-0.0,50.0,2001,7,18.1,21.7,80.1
218,-0.0,51.0,2001,7,17.65,22.9,54.575
219,-0.0,52.0,2001,7,17.550001,22.800001,56.350002
220,1.0,33.0,2001,7,29.55,39.100002,1.45
221,1.0,34.0,2001,7,27.550001,36.2,1.825
222,1.0,35.0,2001,7,27.175001,35.600002,0.52500004
223,1.0,36.0,2001,7,28.45,36.9,0.1
224,1.0,37.0,2001,7,28.5,35.4,0.2
225,1.0,38.0,2001,7,,,
226,1.0,39.0,2001,7,26.25,32.2,11.65
227,1.0,40.0,2001,7,,,
228,1.0,41.0,2001,7,24.233334,30.4,23.333334
229,1.0,42.0,2001,7,21.2,30.4,66.475
230,1.0,43.0,2001,7,19.4,27.800001,89.875
231,1.0,44.0,2001,7,21.6,27.7,78.600006
232,1.0,45.0,2001,7,20.55,26.6,87.775
233,1.0,46.0,2001,7,19.575,25.4,109.9
234,1.0,47.0,2001,7,19.7,25.6,119.275
235,1.0,48.0,2001,7,19.0,25.1,126.075005
236,1.0,49.0,2001,7,18.325,23.4,113.6
237,1.0,50.0,2001,7,18.366667,23.5,89.76667
238,1.0,51.0,2001,7,18.300001,23.0,60.466667
239,1.0,52.0,2001,7,17.825,22.800001,57.125
240,2.0,33.0,2001,7,30.900002,40.4,0.475
241,2.0,34.0,2001,7,28.125,37.8,2.35
242,2.0,35.0,2001,7,27.550001,36.2,0.90000004
243,2.0,36.0,2001,7,27.925001,36.2,0.125
244,2.0,37.0,2001,7,28.400002,35.4,0.9
245,2.0,38.0,2001,7,,,
246,2.0,39.0,2001,7,26.1,31.7,13.1
247,2.0,40.0,2001,7,25.6,30.800001,23.1
248,2.0,41.0,2001,7,23.85,29.300001,41.85
249,2.0,42.0,2001,7,19.775,26.7,90.675
250,2.0,43.0,2001,7,20.1,27.800001,102.950005
251,2.0,44.0,2001,7,21.3,27.7,84.9
252,2.0,45.0,2001,7,19.400002,26.1,101.175
253,2.0,46.0,2001,7,18.45,24.6,118.075
254,2.0,47.0,2001,7,19.75,25.7,112.8
255,2.0,48.0,2001,7,19.725,25.5,118.325005
256,2.0,49.0,2001,7,19.75,24.9,114.85
257,2.0,50.0,2001,7,18.6,23.300001,99.925
258,2.0,51.0,2001,7,18.166666,23.0,73.36667
259,2.0,52.0,2001,7,17.9,21.9,63.9
260,3.0,33.0,2001,7,31.95,41.0,0.075
261,3.0,34.0,2001,7,29.525002,39.100002,1.0250001
262,3.0,35.0,2001,7,27.475,36.0,0.90000004
263,3.0,36.0,2001,7,26.425,34.3,0.45
264,3.0,37.0,2001,7,26.400002,33.4,1.4
265,3.0,38.0,2001,7,,,
266,3.0,39.0,2001,7,26.300001,31.7,14.7
267,3.0,40.0,2001,7,24.45,29.800001,24.35
268,3.0,41.0,2001,7,,,
269,3.0,42.0,2001,7,23.525002,29.1,57.725002
270,3.0,43.0,2001,7,23.25,29.6,56.975002
271,3.0,44.0,2001,7,20.15,27.0,95.4
272,3.0,45.0,2001,7,17.475,24.2,149.475
273,3.0,46.0,2001,7,18.25,25.300001,112.975
274,3.0,47.0,2001,7,19.75,25.7,102.5
275,3.0,48.0,2001,7,20.25,25.7,108.15
276,3.0,49.0,2001,7,20.1,25.4,107.4
277,3.0,50.0,2001,7,19.15,24.5,105.4
278,3.0,51.0,2001,7,18.5,23.4,79.925
279,3.0,52.0,2001,7,,,
280,4.0,33.0,2001,7,32.925003,42.0,0.0
281,4.0,34.0,2001,7,31.025002,40.2,0.35
282,4.0,35.0,2001,7,28.15,37.3,0.45000002
283,4.0,36.0,2001,7,26.1,34.600002,0.35000002
284,4.0,37.0,2001,7,25.0,31.5,2.5
285,4.0,38.0,2001,7,,,
286,4.0,39.0,2001,7,,,
287,4.0,40.0,2001,7,25.75,31.4,22.025002
288,4.0,41.0,2001,7,,,
289,4.0,42.0,2001,7,,,
290,4.0,43.0,2001,7,23.45,28.800001,58.95
291,4.0,44.0,2001,7,21.650002,29.800001,79.575
292,4.0,45.0,2001,7,17.85,24.0,152.15001
293,4.0,46.0,2001,7,19.0,25.300001,99.9
294,4.0,47.0,2001,7,19.425,25.7,97.775
295,4.0,48.0,2001,7,20.0,25.800001,102.45
